Image,Labels
1.jpg,"person, fork, spoon, dining table, pizza, person, person"
10.jpg,"person, dining table, person, pizza, knife, person, person, bowl, cup, pizza, wine glass, bowl, pizza"
11.jpg,"cup, person, cup, dining table, person, chair, person, pizza"
12.jpg,"bowl, spoon, cup, dining table, fork, fork, cup, fork, cup, person, wine glass, cup, person, bottle, knife, cup, person"
13.jpg,"cake, fork, spoon, spoon, fork, dining table, fork"
14.jpg,"person, scissors, potted plant, cell phone"
16.jpg,"person, fork, bottle, chair"
17.jpg,"person, bowl, chair, dining table, fork"
18.jpg,"fork, fork, fork, fork, fork, dining table, spoon, dining table"
19.jpg,"person, fork, bowl"
2.jpg,"chair, dining table, chair, bowl, bowl, bowl, bowl, fork, bowl, cup, knife, bowl, spoon, cup, dining table, bottle, knife, bottle"
20.jpg,"person, fork, bowl, broccoli"
21.jpg,"person, chair, cake, spoon"
22.jpeg,"dining table, spoon, knife, dining table, dining table"
23.jpg,"fork, spoon, knife, dining table"
24.jpg,"knife, fork, knife, fork"
25.jpg,"fork, spoon, fork, fork, fork, knife, spoon, spoon, fork, fork, knife, spoon, spoon"
26.jpg,"cup, bowl, cup, fork, spoon, cup, dining table, bottle, spoon, dining table"
27.jpg,"dining table, knife, cup, fork, cup, knife, cup, fork, dining table, bowl"
28.jpg,"person, fork, fork"
29.jpg,"bottle, cup, fork, knife, knife, knife, wine glass, fork, dining table, spoon, knife, person, spoon, fork, cup, cup, bottle"
3.jpg,"person, fork, dining table"
30.jpg,"orange, fork, spoon, fork, fork, knife, knife, knife, fork, knife, fork, spoon"
31.jpg,"bowl, dining table, cup, fork, cup, bowl, fork, knife, bowl, fork, cup, fork, cup, knife, orange, bowl"
32.jpg,"person, person, person, fork, dining table, cup, chair, fork"
33.jpg,"person, person, cup, person, person, bowl, bowl, spoon, spoon, spoon, dining table, bowl, spoon, bowl"
34.jpg,"person, person, bowl, chair, bowl, dining table, chair, refrigerator, knife, fork, spoon, fork"
35.jpg,"person, person, cake, spoon, person, bowl, carrot, broccoli, spoon"
36.jpg,"person, person, chair, knife, banana"
37.jpg,"person, apple, dining table, book, book, bottle, broccoli, cup, potted plant, book"
38.jpg,"person, bowl, wine glass, person, person, person, dining table, bowl, person, bowl, cup, wine glass, bowl, chair, cup"
39.jpg,"person, person, person, person, cup, dining table, cup, bowl, cup, person, refrigerator, spoon, pizza, fork, chair"
4.jpg,"spoon, spoon, fork"
40.jpg,"person, person, person, person, bowl, cup, cup, person, dining table, person, bowl, refrigerator, wine glass, cup, bowl, chair, potted plant, bowl, bowl, bowl, bowl"
41.jpg,"fork, fork, fork"
42.jpg,clock
43.jpg,scissors
44.jpg,"fork, fork, knife, fork, fork, fork, fork, fork, knife, spoon, fork, knife, knife, knife, fork, fork"
45.jpg,"fork, fork, fork, fork, fork, fork, fork, knife"
46.jpg,fork
47.jpg,"spoon, fork, fork, fork, knife, knife"
48.jpg,"knife, fork"
5.jpg,"spoon, knife, fork"
50.jpg,"person, fork"
6.jpg,"person, cake, dining table, spoon, fork"
7.jpg,"person, dining table"
8.jpg,"person, fork, carrot, fork, carrot, carrot, dining table"
9.jpg,"person, scissors"
