Image,Labels
1.jpg,"person, pizza, oven, microwave, oven"
10.jpg,"person, oven"
12.jpeg,"oven, person"
13.jpeg,"person, oven, microwave"
14.jpeg,"potted plant, oven, cup, cup"
15.jpeg,"oven, potted plant"
16.jpeg,"person, bowl, oven, oven, bottle, oven"
17.jpeg,oven
18.jpeg,"person, sink, oven, oven"
19.jpeg,"oven, microwave, refrigerator"
20.jpeg,"person, oven, potted plant, spoon, spoon, spoon, bowl, sink, spoon"
21.jpeg,"microwave, oven, oven, bottle"
22.jpeg,"person, oven, potted plant"
23.jpeg,"person, person, oven, cake"
24.jpeg,"person, potted plant, oven, bowl, spoon, potted plant, bowl, cake, cup"
25.jpeg,"person, oven"
26.jpeg,"person, person, donut, donut, donut, donut, donut, donut, donut, donut, donut, donut, donut, donut"
27.jpeg,"person, person"
29.jpeg,"person, person, person, oven"
3.jpg,oven
30.jpeg,"person, oven, refrigerator"
35.jpeg,"person, oven"
36.jpeg,"oven, potted plant, spoon, spoon, spoon, pizza"
37.jpeg,"potted plant, spoon, tv, spoon, oven, spoon, sandwich, cup, bowl"
38.jpeg,"person, oven"
39.jpeg,"person, chair, oven, oven, chair"
4.jpg,"person, person, person, oven"
40.jpeg,"person, tv, oven, person, oven"
41.jpeg,"person, person, oven"
42.jpeg,"person, person, bowl, sink"
45.jpeg,"bench, potted plant"
49.jpeg,tv
5.jpg,"person, pizza, oven"
6.jpg,"chair, pizza, oven, dining table"
7.jpg,person
8.jpg,"oven, cake, cake, cake, cake, cake, cake, donut"
9.jpg,"person, oven, refrigerator, chair"
