Image,Labels
1.jpeg,"person, person, person"
10.jpeg,"person, chair, person, chair"
11.jpeg,"person, person, person, person, person, bottle, potted plant, person, bowl, chair, dining table"
13.jpeg,"person, person, person, cake, teddy bear"
14.jpeg,"person, person, cup"
15.jpeg,"person, person"
16.jpeg,"person, handbag, person, bowl, frisbee, person"
17.jpeg,"person, person, person, person, person, person"
19.jpeg,"person, person, person, person"
2.jpeg,person
20.jpeg,"person, person, person, person, dining table, cup, cup, cup, hot dog, cup, bowl"
21.jpeg,"person, person, person, person, person"
22.jpeg,"person, person"
24.jpeg,"person, person, person, person, person, person, person"
25.jpeg,"person, person, bed, cell phone"
3.jpeg,"person, person, couch"
4.jpeg,person
5.jpeg,"person, chair"
6.jpeg,"person, person, person"
7.jpeg,"person, person, person, orange, orange, apple"
8.png,"person, person, cup, cup, dining table, book, dining table, orange"
9.jpeg,"person, cup, bowl, dining table"
